1,2,3,4,5,6,7,8,9
97.715,16.938,34.11,,1.59,2.77,0.53,0.18,
94.537,17.692,39.28,27.15,6.59,31.25,0.60,0.20,
97.094,20.750,32.66,,,1.05,0.52,0.17,
93.897,21.383,35.55,23.43,2.46,27.35,0.49,0.18,0.007
96.323,21.473,30.56,,,0.16,0.80,0.37,
96.081,21.636,30.88,9.65,,14.20,0.91,0.39,
95.919,21.672,30.68,11.30,,15.80,0.90,0.35,
95.716,21.691,32.16,11.54,,15.98,0.70,0.28,
96.321,21.890,29.42,,,2.86,0.79,0.29,0.003
95.981,21.934,30.04,6.91,,11.43,1.05,0.39,0.158
95.595,21.962,32.46,12.08,,16.49,0.68,0.28,0.021
95.757,21.986,30.18,10.34,,14.80,0.60,0.29,0.023
96.172,21.989,28.37,2.44,,7.02,0.68,0.31,
95.919,21.991,30.01,10.04,,14.54,0.69,0.28,
96.011,22.003,32.04,8.46,,12.99,0.74,0.35,
96.097,22.009,9.54,2.10,,6.65,0.31,0.12,
95.286,22.049,31.35,13.56,,17.88,0.34,0.13,0.034
96.535,22.060,29.54,,,0.07,0.34,0.13,0.014
95.809,22.162,31.86,11.86,,16.33,1.12,0.40,
96.317,22.324,30.60,,,3.66,0.83,0.30,0.078
96.111,22.360,28.20,1.96,,6.52,1.17,0.38,
95.778,22.367,30.73,8.20,,12.66,0.75,0.28,0.017
